qa_file,question,gold_answer,generated_answer,model_used,out_of_domain,retrieval_query,semantic_similarity,rouge_l,groundedness,retrieved_sources,status
0urc3PabvOs_QA.csv,ماذا ورد في هذا الموضع من النص؟,"افتح موضوع جديد يا ""ميدو""، أنا مش ناقص!","في هذا الموضع من النص، وردت كلمة ""الرُز"" عدة مرات، حيث كانت العُملة الرئيسية التي كان الساموراي يقبضوا بيها مُرتّباتهم، وتمثل الحياة والفلوس في نظام اقتصادي وزراعي.",llama-3.1-8b-instant,False,ماذا ورد في هذا الموضع من النص؟,0.003037308311854972,0.0,0.3234628182937848,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 54, 'score': 0.27920249104499817}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 11, 'score': 0.2808418869972229}, {'episode': 'فيزياء و فلسفة الحركة  الدحيح', 'chunk_id': 16, 'score': 0.2833890914916992}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 55, 'score': 0.2910958230495453}]",success
0urc3PabvOs_QA.csv,ما الجملة المذكورة في هذا السياق؟,وبعد كدا، هتنطفي هي كمان.,"الجملة المذكورة في هذا السياق هي:
""انتي ترجعي المطبخ!""

هذه الجملة وردت في السياق في Chunk 2، Episode: جون كينيدي  الدحيح.",llama-3.1-8b-instant,False,ما الجملة المذكورة في هذا السياق؟,0.015695433252425936,0.0,0.21221382916453285,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 73, 'score': 0.2818002998828888}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 11, 'score': 0.28180888295173645}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 2, 'score': 0.28804999589920044}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 65, 'score': 0.2968648076057434}]",success
0urc3PabvOs_QA.csv,كيف صيغت العبارة هنا؟,- أيوة.,لا توجد معلومات كافية في السياق للإجابة على هذا السؤال.,llama-3.1-8b-instant,False,كيف صيغت العبارة هنا؟,0.0,0.0,0.06530225772442458,"[{'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 58, 'score': 0.2654470205307007}, {'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 106, 'score': 0.27148860692977905}, {'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 71, 'score': 0.272010862827301}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 73, 'score': 0.2724747061729431}]",success
0urc3PabvOs_QA.csv,ما الذي قيل في هذا الجزء؟,- عشان كُل حاجة بتنتهي.,"في هذا الجزء، قيل: ""لمّا هُما كلهم بيتم استغلالهم وتعذيبهم ومَنعهم حتى من التفكير، ما حدش راح مميّل على أخوه، وقام قايلّه: (ما تيجي ياد نهرب)؟!""",llama-3.1-8b-instant,False,ما الذي قيل في هذا الجزء؟,0.0,0.0,0.18540574428230527,"[{'episode': 'كيف تسيطر على عقول البشر؟  الدحيح', 'chunk_id': 62, 'score': 0.26749980449676514}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 2, 'score': 0.2690000534057617}, {'episode': 'تاج محل  الدحيح', 'chunk_id': 0, 'score': 0.2694195806980133}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 7, 'score': 0.26965808868408203}]",success
0urc3PabvOs_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,- عشان الفيزيا بتقول كدا.,"في هذا الجزء، وردت الجملة التالية:
""نفسي أنتمي لطائفة، في النهاية، هتتسبب في موتي!""

هذه الجملة وردت في السياق في Chunk 4، Episode: كيف تسيطر على عقول البشر؟  الدحيح.",llama-3.1-8b-instant,False,ما النص الحرفي المذكور في هذه الفقرة؟ الموضوع هو كيف تسيطر على عقول البشر؟  الدحيح,0.03778380159093021,0.0,0.20766450063897685,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 93, 'score': 0.24463826417922974}, {'episode': 'فيزياء و فلسفة الحركة  الدحيح', 'chunk_id': 19, 'score': 0.2629140019416809}, {'episode': 'هل Citizen Kane أفضل فيلم في التاريخ؟  الدحيح', 'chunk_id': 42, 'score': 0.266182541847229}, {'episode': 'كيف تسيطر على عقول البشر؟  الدحيح', 'chunk_id': 9, 'score': 0.2697134017944336}]",success
0urc3PabvOs_QA.csv,ماذا ورد في هذا الموضع من النص؟,- عشان الفيزيا رياضة تطبيقية،,"رد في هذا الموضع من النص: ""لو فيه مواطن، لمجرد إن بشرته غامقة، مش قادر ياكل في مطعم، أو يبعت لولاده لأحسن مدرسة ممكنة، مين فينا يقبل يكون مكان هذا المُواطن؟""",llama-3.1-8b-instant,False,ماذا ورد في هذا الموضع من النص؟,0.02170344331188307,0.0,0.26209507584040753,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 54, 'score': 0.27920249104499817}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 11, 'score': 0.2808418869972229}, {'episode': 'فيزياء و فلسفة الحركة  الدحيح', 'chunk_id': 16, 'score': 0.2833890914916992}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 55, 'score': 0.2910958230495453}]",success
0urc3PabvOs_QA.csv,ما الجملة المذكورة في هذا السياق؟,والفلاسفة قالوا كدا.,"في هذا السياق، الجملة المذكورة هي:
""ما انت، بسم الله، ما شاء الله، كنت جندي في الـ(مارينز)، وبعدين، رحُت (الاتحاد السوفييتي) قعدتلك شوية، وبعدين، راجع مع مراتك السوفييتية، وعمّال كل شوية روسي يخُشّلك، وروسي يطلعلك، في ""أمريكا""، إيه بقى؟ إيه؟! بتعملوا إيه يعني؟! انقلاب حُكم؟ ولّا ثورة شيوعية؟! ناويين على إيه بقى؟! (خورتشوف) في (البيت الأبيض)؟! دي الخطة الجاية؟!""",llama-3.1-8b-instant,False,ما الجملة المذكورة في هذا السياق؟,0.006822961361014171,0.0,0.422699267998425,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 73, 'score': 0.2818002998828888}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 11, 'score': 0.28180888295173645}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 2, 'score': 0.28804999589920044}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 65, 'score': 0.2968648076057434}]",success
0urc3PabvOs_QA.csv,كيف صيغت العبارة هنا؟,- عشان كانوا فاضيين وفي (اليونان) و...,لا توجد معلومات كافية في السياق للإجابة على هذا السؤال.,llama-3.1-8b-instant,False,كيف صيغت العبارة هنا؟,0.01099663616100759,0.0,0.06530225772442458,"[{'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 58, 'score': 0.2654470205307007}, {'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 106, 'score': 0.27148860692977905}, {'episode': 'معركة ذي قار  الدحيح', 'chunk_id': 71, 'score': 0.272010862827301}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 73, 'score': 0.2724747061729431}]",success
0urc3PabvOs_QA.csv,ما الذي قيل في هذا الجزء؟,- عشان الأحياء بتسمع كلام الفيزيا برضه.,"رد في هذا الجزء من النص: ""إيه يا أسطى الـ""أفورة"" دي؟!""",llama-3.1-8b-instant,False,ما الذي قيل في هذا الجزء؟,0.03997617041424458,0.0,0.1663935311029891,"[{'episode': 'كيف تسيطر على عقول البشر؟  الدحيح', 'chunk_id': 62, 'score': 0.26749980449676514}, {'episode': 'الساموراي  الدحيح', 'chunk_id': 2, 'score': 0.2690000534057617}, {'episode': 'تاج محل  الدحيح', 'chunk_id': 0, 'score': 0.2694195806980133}, {'episode': 'جون كينيدي  الدحيح', 'chunk_id': 7, 'score': 0.26965808868408203}]",success
0urc3PabvOs_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,- هش!,"رد في هذا الجزء من النص: ""إيه يا أسطى الـ""أفورة"" دي؟!""",llama-3.1-8b-instant,False,ما النص الحرفي المذكور في هذه الفقرة؟ الموضوع هو كيف تسيطر على عقول البشر؟  الدحيح,0.0,0.0,0.13597055290413107,"[{'episode': 'جون كينيدي  الدحيح', 'chunk_id': 93, 'score': 0.24463826417922974}, {'episode': 'فيزياء و فلسفة الحركة  الدحيح', 'chunk_id': 19, 'score': 0.2629140019416809}, {'episode': 'هل Citizen Kane أفضل فيلم في التاريخ؟  الدحيح', 'chunk_id': 42, 'score': 0.266182541847229}, {'episode': 'كيف تسيطر على عقول البشر؟  الدحيح', 'chunk_id': 9, 'score': 0.2697134017944336}]",success
